Food_items,Breakfast,Lunch,Dinner,Snack,type,VegNonveg,Calories,Protein,Carbs,Fat,Fiber,Servings,Measurings,PreDiabetic,Diabetic
Chole,0,1,1,1,2,Veg,271,11.1,39.2,8.5,10.6,1,Cup,1,1
Broccoli,0,1,1,0,3,Veg,31,2.6,6.1,0.3,2.4,1,Cup,1,1
Chocolate(Dark) - 40gm,0,0,0,1,7,Veg,223,2.4,22.9,13.5,0,40,Gram,1,1
Protien Smoothies,1,0,0,1,5,Veg,224,11,25.5,8.2,4.5,1,Glass,1,1
Banana & Honey smoothie,1,0,0,1,5,Veg,226,1.6,46.1,4,2.4,1,Glass,1,0
Skim Milk,1,0,0,1,5,Veg,73,6.3,11.5,0.3,0,1,Cup,1,1
Tea with Skim Milk,1,0,0,1,5,Veg,56,3.5,10.5,0.1,0,1,Cup,0,0
Coffee with Skim Milk,1,0,0,1,5,Veg,103,5,20.3,0.2,1.2,1,Cup,0,0
Tea without sugar and milk,1,0,0,1,5,Veg,2,0.2,0.4,0,0.1,1,Cup,1,1
Coffee without sugar and milk,1,0,0,1,5,Veg,4,0.1,0.8,0,0,1,Cup,1,1
Green Tea,1,0,0,1,5,Veg,0,0,0,0,0,1,Cup,1,1
Butter Milk,0,0,1,0,5,Veg,45,2.3,2.3,3,0,1,Glass,1,1
Lemonade,1,0,0,1,5,Veg,92,0.2,24.3,0.1,0.2,1,Glass,1,0
Tamatar soup,0,1,1,1,3,Veg,85,2,11.2,3.7,3.2,1,Bowl,1,0
Yoghurt/Curd/Dahi,1,1,1,0,5,Veg,150,8,11,8,0,1,Cup,1,1
Badam/ Akhrot,1,0,0,1,8,Veg,164,6,6.1,14.2,3.5,28,Gram,1,1
Spinach/Palak,0,1,1,0,3,Veg,8,0.6,0.9,0.2,0.8,1,Cup,1,1
Methi Sabzi,0,1,0,0,3,Veg,120,4.7,14.6,5.3,5.3,1,Cup,1,1
Apple/Saib,1,0,0,1,4,Veg,107,0.4,24.4,0.9,5.8,1,Medium,1,1
Nashpati/Pear,1,0,0,1,4,Veg,93,1.1,21.2,0.4,7.7,1,Medium,1,1
Anar,1,0,0,1,4,Veg,144,2.9,32.5,2,7,1,Cup,1,1
Kino,1,0,0,1,4,Veg,88,1.3,20.1,0.4,2,1,Large,1,1
Kiwi,1,0,0,1,4,Veg,42,0.8,10.1,0.4,2.1,1,Unit,1,0
Tarboz,1,0,0,1,4,Veg,46,0.9,11.5,0.2,0.6,1,Cup,1,1
Papita,1,0,0,1,4,Veg,46,0.9,10.3,0.2,3.8,1,Cup,1,1
Kela,1,0,0,1,4,Veg,117,1.3,27.5,0.3,2,1,Medium,0,0
Boil Bhutta,0,1,0,1,3,Veg,88,3.3,19,1.4,2,1,Medium,1,1
Guava/Amrod,1,0,0,1,4,Veg,48,1.8,10,0.7,3.8,1,Unit,1,0
Bhone Chane,0,0,0,1,2,Veg,270,9.6,46,5.3,7.3,0.5,Cup,1,1
Whole grain Cereals,1,0,0,1,8,Veg,230,6,45,5,11.4,1,Cup,1,1
Ubla hoa Anda,1,0,0,0,6,Nonveg,77,6.3,0.6,5.3,0,1,Large,1,0
Anday ki safadi,1,0,0,0,6,Nonveg,34,7.2,0.5,0.1,0,2,Unit,0,1
Scrammbled Egg,1,0,0,0,6,Nonveg,266,12.2,2.5,23.8,0.1,2,Unit,1,0
Anda Ghotala,0,1,1,0,6,Nonveg,180,7.8,8.6,13.4,2.2,1,Cup,1,0
Roasted Salmon Machli,0,1,1,0,6,Nonveg,551,67.7,1.7,28.4,0.6,2,Piece,1,1
Roasted Palla Machli,0,1,1,0,6,Nonveg,94,5.4,1.8,7.3,0.5,2,Piece,1,1
Roasted Srmai Macli,0,1,1,0,6,Nonveg,122,17.5,1.3,5.3,0.2,2,Piece,1,1
Roasted Tuna Fish,0,1,1,0,6,Nonveg,176,18.6,1,10.4,0.4,2,Piece,1,1
Chicken Yakhni,0,1,1,1,6,Nonveg,127,25.4,1.2,2.3,0.2,1,Bowl(small),1,1
Grilled Chicken,0,1,1,0,6,Nonveg,285,41.3,1.1,11.7,0.3,2,Piece,1,1
Roasted Chicken,0,1,1,0,6,Nonveg,285,41.3,1.1,11.7,0.3,2,Piece,1,1
Baked Chicken,0,1,1,0,6,Nonveg,204,34,0.2,6.5,0.2,2,Piece,1,1
Fried Chicken,0,1,1,0,6,Nonveg,563,30.7,9.8,43.7,0.4,1,Piece,1,0
Chicken Shawarma,0,1,1,0,6,Nonveg,391,24.7,27.7,20.4,3.4,1,Roll,1,0
Bakre ka Ghost,0,1,1,0,6,Nonveg,116,11.1,0,80,0,60,Gram,1,1
Mix Sabzi,0,1,1,0,3,Veg,382,8.3,61.3,11.7,3.4,1,Plate,0,0
Golgappay,0,0,0,1,8,Veg,211,4.3,36.3,5.5,2.9,5,Piece,1,0
Fried Rice,0,1,1,0,1,Veg,136,2.3,22.3,3.9,0.9,1,Bowl,0,0
Gulab Jamun,0,1,1,1,7,Veg,143,2.5,24,5.2,0.1,1,Piece,0,0
Daal,0,1,1,0,2,Veg,116,2.5,24,5.2,0.1,1,Bowl,1,1
Low Fat Peanut butter Sandwich,1,0,0,1,8,Veg,125,2.5,24,5.2,0.1,1,Unit,1,1
Low Fat Cheese Sandwitch,1,0,0,1,8,Veg,190,2.5,24,5.2,0.1,1,Unit,1,1
Rice pudding,0,1,1,0,7,Veg,245,5.3,46.3,4.8,0.3,1,Bowl,0,1
Chocolate Icecream,0,0,1,1,7,Veg,285,5,37.2,14.5,1.6,1,Cup,0,0
Vanilla Ice cream,0,0,1,1,7,Veg,145,2.5,14.4,8.6,0,1,Cup,0,0
Strawberry Icecream,0,0,1,1,7,Veg,127,2.1,18.2,5.6,0.6,1,Cup,0,0
Cereals-Corn Flakes,1,0,0,1,8,Veg,131,1.8,30.3,0.3,1.5,1,Cup,1,1
Celery Soup,0,1,1,1,3,Veg,97,1.5,8.4,6.3,1.6,1,Bowl(small),1,1
Corn Soup,0,1,1,1,3,Veg,120,4.2,15.3,5.2,0.8,1,Bowl(small),1,1
Hot and sour soup,0,1,1,1,3,Veg,88,3.1,9.3,4.5,1.1,1,Bowl(small),1,1
Aloo gosht(Mutton),0,1,1,0,6,Nonveg,192,5,20,14,2.1,1,Bowl(small),1,1
Palak gosht(Mutton),0,1,1,0,6,Nonveg,164,11.1,3.7,11.8,1.4,1,Bowl(small),1,1
Aloo Palak,0,1,1,0,3,Nonveg,122,2.9,15.6,5.5,3.6,1,Cup,1,1
Tinday gosht,0,1,1,0,6,Nonveg,178,10.9,3.8,13.4,1.1,1,Bowl(small),1,1
Tinday Sabzi,0,1,1,0,3,Nonveg,111,2.8,7.3,8.1,4.6,1,Cup,1,1
Bhindi gosht,0,1,1,0,6,Nonveg,169,8.9,6.3,12.2,2.1,1,Bowl(small),1,1
Moong Daal,0,1,1,0,2,Veg,250,12.5,31.4,1.9,4.5,1,Cup,1,1
Chanay ki daal,0,1,1,0,2,Veg,131,5.8,17,4.5,4.6,1,Bowl(small),1,1
Masoor ki daal,0,1,1,0,2,Veg,394,28.9,67.9,0.8,11.9,1,Bowl(small),1,1
Sabut masoor Daal,0,1,1,0,2,Veg,122,7.9,20.1,1.9,5.7,1,Bowl(small),1,1
Arvi gosht,0,1,1,0,6,Nonveg,122,7.9,9.5,6.1,2.6,1,Bowl(small),1,1
Baingan Aloo Sabzi,0,1,1,0,3,Veg,81,1.7,12.2,3,2.7,1,Bowl(small),1,1
Karele pyaz,0,1,1,0,3,Veg,80,1.7,12.2,3,2.7,1,Plate,1,1
Karele gosht,0,1,1,0,6,Nonveg,419,1.7,12.2,3,2.7,1,Plate,1,1
Safed chanay,0,1,1,1,2,Veg,235,1.7,12.2,3,2.7,1,Bowl,1,1
Kaalay chanay,0,1,1,1,2,Veg,720,34.2,121.8,10.6,56.6,44.8,Cup,1,1
